"region";"vaccine";"n_dose";"year";"cov1y";"cov2y";"cov3y";"cov4y";"cov5y"
"east midlands";"MMR";1;2005;0.7085;0.868;0.885248009204154;0.913355833935467;0.936187736173136
"east midlands";"MMR";1;2006;0.709625;0.881;0.895736837572735;0.903430693371563;0.916477519861524
"east midlands";"MMR";1;2007;0.705275;0.884;0.903084969479042;0.915711884053025;0.906790232031419
"east midlands";"MMR";1;2008;0.70685;0.893;0.90787980142372;0.918989749203942;0.919402590016188
"east midlands";"MMR";1;2009;0.701375;0.882;0.91892464638092;0.92507715285674;0.921928408967833
"east midlands";"MMR";1;2010;0.714875;0.9019143155;0.91505035933056;0.93759461966414;0.9282546357
"east midlands";"MMR";1;2011;0.725225;0.9110733277;0.93179861151998;0.9335529109216;0.9410441927
"east midlands";"MMR";1;2012;0.730175;0.9338698268;0.94062438730928;0.9473904181391;0.9462003872
"east midlands";"MMR";1;2013;0.727625;0.9454813845;0.95489453035073;0.95047641091312;0.9547320886
"east midlands";"MMR";1;2014;0.725675;0.9538586649;0.9602209048723;0.96441291328523;0.9611853501
"east midlands";"MMR";1;2015;0.7262;0.947830401;0.96407808749104;0.96839508480589;0.9650776397
"east midlands";"MMR";1;2016;0.7309037804375;0.9464225941;0.9613622197494;0.96682417817136;0.9700063768
"east midlands";"MMR";1;2017;0.729103212725;0.9407434145;0.95723010057064;0.9666898732564;0.9686544121
"east midlands";"MMR";1;2018;0.7249596699875;0.9359419006;0.95498175847832;0.9620322501849;0.96888832
"east midlands";"MMR";1;2019;0.726281704025;0.9248924533;0.95202934454488;0.9613083480787;0.9642215178
"east midlands";"MMR";2;2005;0;0;0.332613808640339;0.680361959078603;0.792189110271384
"east midlands";"MMR";2;2006;0;0;0.345622529203307;0.665227617280678;0.788003195597177
"east midlands";"MMR";2;2007;0;0;0.362650442976281;0.691245058406615;0.770474423535648
"east midlands";"MMR";2;2008;0;0;0.36963738373536;0.725300885952561;0.800608128800805
"east midlands";"MMR";2;2009;0;0;0.37412163368325;0.73927476747072;0.84005198743637
"east midlands";"MMR";2;2010;0;0;0.363843052276725;0.7482432673665;0.8562367008
"east midlands";"MMR";2;2011;0;0;0.373782638236665;0.72768610455345;0.8666241225
"east midlands";"MMR";2;2012;0;0;0.39667228660486;0.74756527647333;0.8817231365
"east midlands";"MMR";2;2013;0;0;0.399293596996795;0.79334457320972;0.8966837909
"east midlands";"MMR";2;2014;0;0;0.39780332466505;0.79858719399359;0.9107388052
"east midlands";"MMR";2;2015;0;0;0.401757323090695;0.7956066493301;0.9123582703
"east midlands";"MMR";2;2016;0;0;0.4145092412397;0.80351464618139;0.9047153165
"east midlands";"MMR";2;2017;0;0;0.4125140667006;0.8290184824794;0.8875672663
"east midlands";"MMR";2;2018;0;0;0.4101983523034;0.8250281334012;0.890077821
