"region";"vaccine";"n_dose";"year";"cov1y";"cov2y";"cov3y";"cov4y";"cov5y"
"north east";"MMR";1;2007;0;0.884523854493257;0.884523854493257;0.884523854493257;0.889594260128729
"north east";"MMR";1;2008;0;0.931330472103004;0.931330472103004;0.931330472103004;0.931330472103004
"north east";"MMR";1;2009;0;0.934151785714286;0.934151785714286;0.934151785714286;0.934151785714286
"north east";"MMR";1;2010;0;0.948968512486428;0.948968512486428;0.948968512486428;0.948968512486428
"north east";"MMR";1;2011;0;0.942868247182277;0.942868247182277;0.942868247182277;0.942868247182277
"north east";"MMR";1;2012;0;0.962518195050946;0.962518195050946;0.962518195050946;0.962518195050946
"north east";"MMR";1;2013;0;0.968473255402055;0.968473255402055;0.968473255402055;0.968473255402055
"north east";"MMR";1;2014;0;0.967294703163882;0.967294703163882;0.967294703163882;0.967294703163882
"north east";"MMR";1;2015;0;0.970946915351506;0.970946915351506;0.970946915351506;0.970946915351506
"north east";"MMR";1;2016;0;0.974713418745786;0.974713418745786;0.974713418745786;0.974713418745786
"north east";"MMR";1;2017;0;0.9754839531;0.9754839531;0.9754839531;0.981075774403614
"north east";"MMR";1;2018;0;0.9716450981;0.9716450981;0.9716450981;0.977214913720074
"north east";"MMR";1;2019;0;0.966303767;0.966303767;0.966303767;0.971842964208628
"north east";"MMR";2;2007;0;0.715993933411757;0.772239722039889;0.794568538510632;0.827292144497782
"north east";"MMR";2;2008;0;0.737563441851625;0.795503649881804;0.818505127911316;0.852214541267195
"north east";"MMR";2;2009;0;0.787946428571429;0.854625550660793;0.845426100767777;0.880244230698562
"north east";"MMR";2;2010;0;0.821570756424177;0.887583235409322;0.887583235409322;0.920137055939886
"north east";"MMR";2;2011;0;0.810726778080062;0.901182754673789;0.920955125566077;0.920955125566077
"north east";"MMR";2;2012;0;0.841703056768559;0.903385631709331;0.942330796956348;0.942330796956348
"north east";"MMR";2;2013;0;0.849096705632306;0.908456167571761;0.944954128440367;0.9485140226036
"north east";"MMR";2;2014;0;0.851048702452897;0.918174962292609;0.949075975359343;0.951275045537341
"north east";"MMR";2;2015;0;0.857962697274032;0.916824196597353;0.950138504155125;0.95280612244898
"north east";"MMR";2;2016;0;0.861766689143628;0.920852359208524;0.947056499407349;0.952243721696171
"north east";"MMR";2;2017;0;0.860489083812398;0.928085867620751;0.955182072829132;0.955182072829132
"north east";"MMR";2;2018;0;0.865335931097388;0.933313464986409;0.960299625468165;0.960299625468165
"north east";"MMR";2;2019;0;0.818042634983638;0.882304985527367;0.907816268527705;0.962056303549572
"north west";"MMR";1;2007;0;0.893273923191173;0.893273923191173;0.893273923191173;0.880060662838735
"north west";"MMR";1;2008;0;0.871532846715328;0.871532846715328;0.871532846715328;0.871532846715328
"north west";"MMR";1;2009;0;0.910939827709048;0.910939827709048;0.910939827709048;0.910939827709048
"north west";"MMR";1;2010;0;0.913736023486789;0.913736023486789;0.913736023486789;0.913736023486789
"north west";"MMR";1;2011;0;0.930085609457807;0.930085609457807;0.930085609457807;0.930085609457807
"north west";"MMR";1;2012;0;0.946877332669818;0.946877332669818;0.946877332669818;0.946877332669818
"north west";"MMR";1;2013;0;0.952686880816572;0.952686880816572;0.952686880816572;0.952686880816572
"north west";"MMR";1;2014;0;0.94927195866604;0.94927195866604;0.94927195866604;0.94927195866604
"north west";"MMR";1;2015;0;0.956606103369201;0.956606103369201;0.956606103369201;0.956606103369201
"north west";"MMR";1;2016;0;0.952134319863404;0.952134319863404;0.952134319863404;0.952134319863404
"north west";"MMR";1;2017;0;0.9649101731;0.9649101731;0.9649101731;0.950637273149737
"north west";"MMR";1;2018;0;0.9586897932;0.9586897932;0.9586897932;0.944508904778313
"north west";"MMR";1;2019;0;0.9530510185;0.9530510185;0.9530510185;0.93895353853371
"north west";"MMR";2;2007;0;0.676704277256537;0.741795834375244;0.763366593108272;0.79357217644211
"north west";"MMR";2;2008;0;0.68867602301298;0.754919131258089;0.776871503715168;0.807611461629234
"north west";"MMR";2;2009;0;0.752704190685925;0.821981424148607;0.819916171747702;0.852359360218453
"north west";"MMR";2;2010;0;0.767943032044475;0.862023924102846;0.862023924102846;0.8853217737537
"north west";"MMR";2;2011;0;0.789917108302759;0.874306106264869;0.899587643782102;0.899587643782102
"north west";"MMR";2;2012;0;0.80909430206519;0.884791288566243;0.915348707587264;0.915348707587264
"north west";"MMR";2;2013;0;0.810747523266286;0.888667860221471;0.92230557256583;0.925343811394892
"north west";"MMR";2;2014;0;0.813586190699859;0.885378539780389;0.924303068604733;0.931009673035414
"north west";"MMR";2;2015;0;0.826894808020227;0.886054528361015;0.917150182161652;0.928691581949828
"north west";"MMR";2;2016;0;0.818440523619806;0.896911076443058;0.918803137151519;0.921491658488714
"north west";"MMR";2;2017;0;0.811680855510484;0.889755684567005;0.926516736401674;0.926516736401674
"north west";"MMR";2;2018;0;0.817715798876793;0.896371123541276;0.922436793291831;0.92964824120603
"north west";"MMR";2;2019;0;0.782607126204054;0.857885380190183;0.882831918980415;0.929212959882909
"yorkshire and the humber";"MMR";1;2007;0;0.899240165890172;0.899240165890172;0.899240165890172;0.892965097079694
"yorkshire and the humber";"MMR";1;2008;0;0.899346405228758;0.899346405228758;0.899346405228758;0.899346405228758
"yorkshire and the humber";"MMR";1;2009;0;0.918819188191882;0.918819188191882;0.918819188191882;0.918819188191882
"yorkshire and the humber";"MMR";1;2010;0;0.931262392597488;0.931262392597488;0.931262392597488;0.931262392597488
"yorkshire and the humber";"MMR";1;2011;0;0.939958592132505;0.939958592132505;0.939958592132505;0.939958592132505
"yorkshire and the humber";"MMR";1;2012;0;0.933447684391081;0.933447684391081;0.933447684391081;0.933447684391081
"yorkshire and the humber";"MMR";1;2013;0;0.945605306799337;0.945605306799337;0.945605306799337;0.945605306799337
"yorkshire and the humber";"MMR";1;2014;0;0.948918269230769;0.948918269230769;0.948918269230769;0.948918269230769
"yorkshire and the humber";"MMR";1;2015;0;0.94559748427673;0.94559748427673;0.94559748427673;0.94559748427673
"yorkshire and the humber";"MMR";1;2016;0;0.944647201946472;0.944647201946472;0.944647201946472;0.944647201946472
"yorkshire and the humber";"MMR";1;2017;0;0.9664872905;0.9664872905;0.9664872905;0.959742958471264
"yorkshire and the humber";"MMR";1;2018;0;0.9587092001;0.9587092001;0.9587092001;0.95201914506458
"yorkshire and the humber";"MMR";1;2019;0;0.9581977659;0.9581977659;0.9581977659;0.951511279749644
"yorkshire and the humber";"MMR";2;2007;0;0.667012365892652;0.733599045799475;0.76318563728827;0.789826827092189
"yorkshire and the humber";"MMR";2;2008;0;0.668391570263014;0.735115933734089;0.76476370243394;0.791459979140723
"yorkshire and the humber";"MMR";2;2009;0;0.770479704797048;0.849447513812155;0.814293137101123;0.842718381185407
"yorkshire and the humber";"MMR";2;2010;0;0.761401189689359;0.873040752351097;0.89051094890511;0.875225271299272
"yorkshire and the humber";"MMR";2;2011;0;0.790890269151139;0.871318373071529;0.918114143920596;0.918114143920596
"yorkshire and the humber";"MMR";2;2012;0;0.795540308747856;0.894833948339483;0.913204747774481;0.928663515255694
"yorkshire and the humber";"MMR";2;2013;0;0.801658374792703;0.868894601542416;0.935420743639922;0.935420743639922
"yorkshire and the humber";"MMR";2;2014;0;0.818209134615385;0.886103151862464;0.911442006269592;0.946596004891969
