"";"V1";"Min.";"1st Qu.";"Median";"Mean";"3rd Qu.";"Max.";"result";"diff_per"
"1";"MMR1 +0.5";"3157";5337,5;6283;"6543.1772";7466,5;"15994";"6283 (5337.5 ;7466.5)";"13.77 (26.75 ;-2.47)"
"2";"MMR1 +1";"2821";4800,75;5646;"5858.7824";6690;"13226";"5646 (4800.75 ;6690)";"22.51 (34.11 ;8.19)"
"3";"MMR2 +1";"2993";5971;7121,5;"7452.2472";8636,5;"16477";"7121.5 (5971 ;8636.5)";"2.26 (18.05 ;-18.53)"
"4";"MMR2 + 3";"3287";5753,75;6883,5;"7155.9584";8196,75;"19613";"6883.5 (5753.75 ;8196.75)";"5.53 (21.04 ;-12.49)"
"5";"early +1";"2683";5560;6634,5;"6880.2088";7879,25;"16518";"6634.5 (5560 ;7879.25)";"8.95 (23.69 ;-8.13)"
"6";"early + 3";"2300";5461,25;6555;"6794.9552";7874,5;"16086";"6555 (5461.25 ;7874.5)";"10.04 (25.05 ;-8.07)"
"7";"MMR2 early -3";"2985";5726,75;6857;"7148.1128";8303;"15977";"6857 (5726.75 ;8303)";"5.89 (21.41 ;-13.95)"
"8";"MMR2 early -5";"2724";5893;6976;"7292.8676";8402,25;"18180";"6976 (5893 ;8402.25)";"4.26 (19.12 ;-15.31)"
"9";"early second";"3139";5610;6727,5;"6959.6664";8044,25;"15904";"6727.5 (5610 ;8044.25)";"7.67 (23.01 ;-10.4)"
"10";"early MMR2 like MMR1";"2957";5122,5;6032;"6260.3176";7174,25;"14751";"6032 (5122.5 ;7174.25)";"17.22 (29.7 ;1.54)"
"11";"MMR2 at 5";"3955";9293,25;11501;"12046.3728";14036,5;"30601";"11501 (9293.25 ;14036.5)";"-57.84 (-27.54 ;-92.64)"
"12";"reference";"3181";6101,25;7286,5;"7575.1036";8724,25;"17630";"7286.5 (6101.25 ;8724.25)";"0 (16.27 ;-19.73)"
