"";"names";"Min.";"1st Qu.";"Median";"Mean";"3rd Qu.";"Max.";"result";"diff_per"
"1";"MMR1 +0.5";"3450";6623;8141;"8510.57";9897;"26638";"8141 (6623 ;9897)";"16.65 (32.19 ;-1.33)"
"2";"MMR1 +1";"3033";5815,75;7051;"7435.0336";8673,5;"19466";"7051 (5815.75 ;8673.5)";"27.81 (40.46 ;11.2)"
"3";"MMR2 +3";"3768";7644;9629;"10090.814";11986,5;"29986";"9629 (7644 ;11986.5)";"1.42 (21.74 ;-22.72)"
"4";"early +1";"3690";7569,25;9412,5;"9988.768";11917,25;"27468";"9412.5 (7569.25 ;11917.25)";"3.63 (22.51 ;-22.01)"
"5";"early +3";"3690";7569,25;9412,5;"9988.768";11917,25;"27468";"9412.5 (7569.25 ;11917.25)";"3.63 (22.51 ;-22.01)"
"6";"MMR2 -3";"3605";7702;9550;"10097.6856";12068;"25842";"9550 (7702 ;12068)";"2.23 (21.15 ;-23.55)"
"7";"MMR2 -5";"3875";7847,75;9627,5;"10144.2524";11907,25;"26983";"9627.5 (7847.75 ;11907.25)";"1.43 (19.65 ;-21.91)"
"8";"early second";"3478";7586,5;9558,5;"10030.1904";11952,25;"26624";"9558.5 (7586.5 ;11952.25)";"2.14 (22.33 ;-22.37)"
"9";"early MMR2 like MMR1";"2929";7191,5;8846;"9313.3708";10870,75;"24739";"8846 (7191.5 ;10870.75)";"9.43 (26.37 ;-11.3)"
"10";"MMR2 at 5";"3787";8580,75;10626;"11324.4664";13481;"32700";"10626 (8580.75 ;13481)";"-8.79 (12.15 ;-38.02)"
"11";"reference";"3713";7722,75;9767,5;"10309.7236";12203,75;"31144";"9767.5 (7722.75 ;12203.75)";"0 (20.93 ;-24.94)"
