"";"V1";"Min.";"1st Qu.";"Median";"Mean";"3rd Qu.";"Max.";"result";"diff_per"
"1";"MMR1 +0.25";"3083";5624,5;6586;"6792.5124";7749,75;"13577";"6586 (5624.5; 7749.75)";"10.47 (-5.35; 23.54)"
"2";"MMR1 +0.5";"2992";5205,5;6066,5;"6221.5368";7020,25;"14186";"6066.5 (5205.5; 7020.25)";"17.53 (4.56; 29.23)"
"3";"MMR1 +1";"2886";4508,75;5154;"5301.806";5941,25;"10393";"5154 (4508.75; 5941.25)";"29.93 (19.23; 38.71)"
"4";"MMR2 +0.25";"3332";6178;7226;"7508.2696";8597,25;"17008";"7226 (6178; 8597.25)";"1.77 (-16.87; 16.01)"
"5";"MMR2 +0.5";"3215";6174;7294;"7508.6944";8585;"16978";"7294 (6174; 8585)";"0.84 (-16.71; 16.07)"
"6";"MMR2 +1";"3467";6130,25;7224;"7441.08";8478,5;"16374";"7224 (6130.25; 8478.5)";"1.79 (-15.26; 16.66)"
"7";"MMR2 + 3";"3527";6115,75;7121,5;"7387.6096";8437,75;"15562";"7121.5 (6115.75; 8437.75)";"3.19 (-14.71; 16.86)"
"8";"early +0.25";"3384";5860,75;6949,5;"7134.614";8084,25;"16227";"6949.5 (5860.75; 8084.25)";"5.53 (-9.9; 20.33)"
"9";"early +0.5";"3657";5879,5;6858,5;"7098.0208";8046,5;"15665";"6858.5 (5879.5; 8046.5)";"6.76 (-9.39; 20.07)"
"10";"early +1";"3031";5837,75;6829,5;"7083";8046,25;"14982";"6829.5 (5837.75; 8046.25)";"7.16 (-9.38; 20.64)"
"11";"MMR2 -3";"3534";5960,75;7016,5;"7246.672";8300,25;"15305";"7016.5 (5960.75; 8300.25)";"4.62 (-12.84; 18.97)"
"12";"MMR2 -5";"3632";6083,75;7114;"7369.6356";8435,5;"15911";"7114 (6083.75; 8435.5)";"3.29 (-14.68; 17.3)"
"13";"early second";"3164";5840,25;6922,5;"7126.4832";8125,5;"15173";"6922.5 (5840.25; 8125.5)";"5.89 (-10.46; 20.61)"
"14";"early MMR2 like MMR1";"3053";5360,75;6248;"6408.0456";7214;"16370";"6248 (5360.75; 7214)";"15.06 (1.93; 27.12)"
"15";"MMR2 at 5";"3744";7476;8958,5;"9325.1012";10821,75;"22043";"8958.5 (7476; 10821.75)";"-21.78 (-47.11; -1.63)"
"16";"reference";"3311";6233,75;7356;"7594.4884";8648;"17473";"7356 (6233.75; 8648)";"0 (-17.56; 15.26)"
