"";"year";"IQR_ref";"IQR_early";"IQR_MMR1";"diff_MMR2";"diff_MMR1"
"1";2010;"291 (203; 414)";"284 (197; 405.25)";"288.5 (197; 406)";"2.41 (-39.26; 32.3)";"0.86 (-39.52; 32.3)"
"2";2011;"1280 (994; 1663.5)";"1210 (945.75; 1591.25)";"1219.5 (945; 1583)";"5.47 (-24.32; 26.11)";"4.73 (-23.67; 26.17)"
"3";2012;"1433.5 (989; 2007.5)";"1313 (906; 1864.5)";"1264 (873.75; 1783.5)";"8.41 (-30.07; 36.8)";"11.82 (-24.42; 39.05)"
"4";2013;"856 (499; 1312.25)";"752.5 (449.75; 1160)";"668 (414; 1036)";"12.09 (-35.51; 47.46)";"21.96 (-21.03; 51.64)"
"5";2014;"545.5 (348.75; 847)";"479 (314; 733.25)";"427.5 (281; 668.25)";"12.19 (-34.42; 42.44)";"21.63 (-22.5; 48.49)"
"6";2015;"335.5 (195; 555)";"303 (174; 477.75)";"266 (158; 440)";"9.69 (-42.4; 48.14)";"20.72 (-31.15; 52.91)"
"7";2016;"275 (177; 435)";"258.5 (165; 388)";"229 (155; 353.25)";"6 (-41.09; 40)";"16.73 (-28.45; 43.64)"
"8";2017;"360 (256; 502.25)";"339 (242; 479.25)";"309 (225; 423)";"5.83 (-33.12; 32.78)";"14.17 (-17.5; 37.5)"
"9";2018;"606.5 (476.75; 771)";"575 (453; 730)";"538 (423; 671)";"5.19 (-20.36; 25.31)";"11.29 (-10.63; 30.26)"
"10";2019;"774 (623; 973)";"718 (566; 882)";"666 (541; 818)";"7.24 (-13.95; 26.87)";"13.95 (-5.68; 30.1)"
