"";"year";"IQR_ref";"IQR_early";"IQR_MMR1";"diff_MMR2";"diff_MMR1"
"1";2010;"324.5 (231; 449)";"309 (217; 428.25)";"307 (218; 427)";"4.78 (-31.97; 33.13)";"5.39 (-31.59; 32.82)"
"2";2011;"1428 (1133; 1809.25)";"1336.5 (1053; 1704.25)";"1288.5 (1037; 1615.25)";"6.41 (-19.35; 26.26)";"9.77 (-13.11; 27.38)"
"3";2012;"1595 (1149.75; 2145)";"1420 (1023; 1922.25)";"1292.5 (920; 1744)";"10.97 (-20.52; 35.86)";"18.97 (-9.34; 42.32)"
"4";2013;"866.5 (559; 1309)";"734.5 (460.75; 1099.25)";"622.5 (402; 934.25)";"15.23 (-26.86; 46.83)";"28.16 (-7.82; 53.61)"
"5";2014;"508 (343; 759)";"451 (302; 664)";"395 (275; 578)";"11.22 (-30.71; 40.55)";"22.24 (-13.78; 45.87)"
"6";2015;"309 (202; 478)";"270 (169; 409)";"247 (164; 369)";"12.62 (-32.36; 45.31)";"20.06 (-19.42; 46.93)"
"7";2016;"266 (183.75; 388)";"240 (164; 337)";"220.5 (153; 312)";"9.77 (-26.69; 38.35)";"17.11 (-17.29; 42.48)"
"8";2017;"338 (254; 461)";"317 (238; 425)";"288 (215; 380.25)";"6.21 (-25.74; 29.59)";"14.79 (-12.5; 36.39)"
"9";2018;"560 (445.75; 693)";"519 (418; 632.25)";"477 (384; 580.25)";"7.32 (-12.9; 25.36)";"14.82 (-3.62; 31.43)"
"10";2019;"688 (557; 828)";"617 (506; 744)";"566 (471; 675)";"10.32 (-8.14; 26.45)";"17.73 (1.89; 31.54)"
